run_number,topic_count
1,28
2,29
3,27
4,25
5,29
6,28
7,29
8,26
9,29
10,33
11,26
12,31
13,25
14,31
15,26
16,27
17,29
18,33
19,31
20,29
21,28
22,27
23,28
24,27
25,31
26,31
27,31
28,32
29,32
30,27
31,27
32,32
33,28
34,28
35,29
36,25
37,27
38,28
39,31
40,28
41,31
42,29
43,30
44,32
45,31
46,31
47,32
48,26
49,29
50,31
51,32
52,29
53,32
54,28
55,31
56,30
57,29
58,30
59,27
60,33
61,26
62,29
63,27
64,30
65,28
66,30
67,30
68,30
69,26
70,31
71,29
72,30
73,30
74,28
75,30
76,26
77,30
78,31
79,33
80,27
81,30
82,28
83,31
84,28
85,29
86,30
87,29
88,27
89,26
90,28
91,26
92,29
93,30
94,30
95,34
96,28
97,30
98,31
99,30
100,28
