Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name,Topic Representation
25914,31175,47965,95,http://data.gesis.org/claimskg/creative_work/d41bfc6a-55d5-5c9f-a1b5-2f6e8af93789,Says Joe Biden is following through with a fracking ban.,politifact,English,MIXTURE,2,"Joe Biden, fracking","['Joe Biden', ' fracking']",2.0,10,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
37573,42994,14078,2730,http://data.gesis.org/claimskg/creative_work/961bd298-a2a3-5d0e-a57b-15deb99bf51d,Joe Biden wants to ban fracking,factcheck_afp,English,FALSE,1,"Joe Biden, fracking","['Joe Biden', ' fracking']",2.0,6,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
36693,42069,15134,3786,http://data.gesis.org/claimskg/creative_work/4ffd0522-3cff-58cd-9898-713537941d37,Joe Biden plans to ban fracking,factcheck_afp,English,FALSE,1,"Joe Biden, fracking","['Joe Biden', ' fracking']",2.0,6,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
56651,63140,72527,1241,http://data.gesis.org/claimskg/creative_work/4ea2f9f2-3afa-52fe-b7a5-ac9ef070b54c,"In the 2020 presidential election, Democratic candidate Joe Biden's policy on fracking was to ban it outright.",snopes,English,MIXTURE,2,"2020 presidential election, Democratic, Joe Biden, fracking","['2020 presidential election', ' Democratic', ' Joe Biden', ' fracking']",4.0,17,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
62317,69039,50094,2224,http://data.gesis.org/claimskg/creative_work/6aa8dfb8-1750-5f6f-8e33-8627fbff7e51,"Even so-called moderate Democrats like Joe Biden have endorsed a ban on fracking, which would eliminate 516,000 Michigan jobs and reduce the state’s gross domestic product by $159 billion over five years.",politifact,English,MIXTURE,2,"Joe Biden, Michigan, fracking, gross domestic product, state’s","['Joe Biden', ' Michigan', ' fracking', ' gross domestic product', ' state’s']",5.0,32,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
59366,65931,46476,7649,http://data.gesis.org/claimskg/creative_work/99a3efc5-88cb-5f28-a8d4-3e725eb8e7d0,"Says Democratic presidential nominee Joe Biden backs a fracking ban that would cost 100,000 Wisconsin jobs",politifact,English,False,1,"Democratic, Joe Biden, Wisconsin, fracking","['Democratic', ' Joe Biden', ' Wisconsin', ' fracking']",4.0,16,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
41741,47630,43500,4673,http://data.gesis.org/claimskg/creative_work/416b7da2-3699-58d9-8b93-836e493bebc4,"Says Joe Biden proposed killing over 600,000 jobs supported by fracking.",politifact,English,False,1,"Joe Biden, fracking","['Joe Biden', ' fracking']",2.0,11,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
37892,43314,40382,1555,http://data.gesis.org/claimskg/creative_work/3f1865cb-b168-5c10-bf28-877487224e30,Says Joe Biden has plans to ban animal agriculture and gas-powered cars.,politifact,English,False,1,"Joe Biden, animal agriculture","['Joe Biden', ' animal agriculture']",2.0,12,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
60039,66673,46408,7581,http://data.gesis.org/claimskg/creative_work/a4fc3948-c63f-5a0d-ae25-f9191c73a34b,Says Joe Biden's plan for net-zero emissions would instantly shut down all fracking and all mining immediately in Pennsylvania.,politifact,English,False,1,"Joe Biden, Pennsylvania, fracking, net-zero emissions","['Joe Biden', ' Pennsylvania', ' fracking', ' net-zero emissions']",4.0,19,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
15069,19457,47677,8850,http://data.gesis.org/claimskg/creative_work/14839be4-ba74-5a3a-a44d-61d82e77968b,Says Joe Biden is going to control how much meat you can eat.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,13,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
51361,57741,57328,9458,http://data.gesis.org/claimskg/creative_work/195edbb0-b381-50f1-a19b-de54df58d033,Says Joe Biden just announced on CNN he will completely shut down drilling for oil and natural gas on day one of his administration.,politifact,English,MIXTURE,2,"CNN, Joe Biden, natural gas","['CNN', ' Joe Biden', ' natural gas']",3.0,24,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
