Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang
2271,4354,14059,2711,http://data.gesis.org/claimskg/creative_work/8139718c-5f87-59d8-92dc-c9172360c19b,Biden climate plan will cut American meat consumption,factcheck_afp,English,FALSE,1,,,0.0,8,en
25112,30370,10612,4374,http://data.gesis.org/claimskg/creative_work/db115574-65e6-5d2d-8ae3-747bf92784dd,A post shared on Facebook claims that President Joe Biden’s administration is seeking to ban the use of gas stoves.,checkyourfact,English,FALSE,1,"Facebook, President Joe Biden","['Facebook', ' President Joe Biden']",2.0,20,en
25200,30458,57069,9199,http://data.gesis.org/claimskg/creative_work/e7abc090-d07b-5a76-85f8-05f3d8aa41e5,Says President Joe Biden is trying to send taxpayer dollars to manufacturers overseas that do not abide by the same (carbon emission) standards we do at home.,politifact,English,MIXTURE,2,"President Joe Biden, carbon emission","['President Joe Biden', ' carbon emission']",2.0,27,en
25914,31175,47965,95,http://data.gesis.org/claimskg/creative_work/d41bfc6a-55d5-5c9f-a1b5-2f6e8af93789,Says Joe Biden is following through with a fracking ban.,politifact,English,MIXTURE,2,"Joe Biden, fracking","['Joe Biden', ' fracking']",2.0,10,en
30320,35618,68905,6876,http://data.gesis.org/claimskg/creative_work/afb25012-10cd-5261-b21f-71bebb1068a7,U.S. President Joe Biden’s administration is planning to ban gas stoves over concerns surrounding climate change.,snopes,English,False,1,"U.S. President Joe Biden, climate change","['U.S. President Joe Biden', ' climate change']",2.0,16,en
36693,42069,15134,3786,http://data.gesis.org/claimskg/creative_work/4ffd0522-3cff-58cd-9898-713537941d37,Joe Biden plans to ban fracking,factcheck_afp,English,FALSE,1,"Joe Biden, fracking","['Joe Biden', ' fracking']",2.0,6,en
37573,42994,14078,2730,http://data.gesis.org/claimskg/creative_work/961bd298-a2a3-5d0e-a57b-15deb99bf51d,Joe Biden wants to ban fracking,factcheck_afp,English,FALSE,1,"Joe Biden, fracking","['Joe Biden', ' fracking']",2.0,6,en
37892,43314,40382,1555,http://data.gesis.org/claimskg/creative_work/3f1865cb-b168-5c10-bf28-877487224e30,Says Joe Biden has plans to ban animal agriculture and gas-powered cars.,politifact,English,False,1,"Joe Biden, animal agriculture","['Joe Biden', ' animal agriculture']",2.0,12,en
38008,43433,40102,1275,http://data.gesis.org/claimskg/creative_work/5767a216-d975-5c4c-8322-277a551e7388,"President Joe Biden said, I know you all know there’s no climate problem, proving that people have been lying for decades about climate change.",politifact,English,False,1,"Joe Biden, climate change","['Joe Biden', ' climate change']",2.0,24,en
49289,55617,43160,4333,http://data.gesis.org/claimskg/creative_work/8b000135-62dc-5e95-810a-7b1d37ccbbfb,"Says Joe Biden plans to mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.",politifact,English,False,1,"2030, Joe Biden, net-zero carbon emissions","['2030', ' Joe Biden', ' net-zero carbon emissions']",3.0,25,en
49842,56206,28676,718,http://data.gesis.org/claimskg/creative_work/f3f162ff-ae2a-5aa9-ae46-84b5cc140932,Biden’s Speech Minimizes Historic US Greenhouse Contribution,polygraph,English,MIXTURE,2,"Biden, Greenhouse, Speech","['Biden', ' Greenhouse', ' Speech']",3.0,7,en
53529,59919,51890,4020,http://data.gesis.org/claimskg/creative_work/8ce77624-6a0a-56d1-bed9-3167032cbfbe,Says Joe Biden wants American farmers to put their farmland into Gvt ‘land banks.’ Gvt would then tell farmers what ‘sustainable’ plants they could grow.,politifact,English,MIXTURE,2,"American farmers, Joe Biden, land banks","['American farmers', ' Joe Biden', ' land banks']",3.0,25,en
55722,62155,9612,3374,http://data.gesis.org/claimskg/creative_work/f4ff266b-18a8-5ee6-a34d-da13b8df1a17,An image shared on Facebook claims President Joe Biden’s climate plan requires Americans to reduce their red meat consumption by 90 percent.,checkyourfact,English,FALSE,1,"Facebook, President Joe Biden, climate plan, red meat","['Facebook', ' President Joe Biden', ' climate plan', ' red meat']",4.0,22,en
56651,63140,72527,1241,http://data.gesis.org/claimskg/creative_work/4ea2f9f2-3afa-52fe-b7a5-ac9ef070b54c,"In the 2020 presidential election, Democratic candidate Joe Biden's policy on fracking was to ban it outright.",snopes,English,MIXTURE,2,"2020 presidential election, Democratic, Joe Biden, fracking","['2020 presidential election', ' Democratic', ' Joe Biden', ' fracking']",4.0,17,en
59366,65931,46476,7649,http://data.gesis.org/claimskg/creative_work/99a3efc5-88cb-5f28-a8d4-3e725eb8e7d0,"Says Democratic presidential nominee Joe Biden backs a fracking ban that would cost 100,000 Wisconsin jobs",politifact,English,False,1,"Democratic, Joe Biden, Wisconsin, fracking","['Democratic', ' Joe Biden', ' Wisconsin', ' fracking']",4.0,16,en
59421,65991,63967,1938,http://data.gesis.org/claimskg/creative_work/dffe3ee4-6b3f-5e75-b627-12b09c3181f2,President Joe Biden's climate plan includes cutting 90% of red meat from Americans' diets by 2030.,snopes,English,False,1,"2030, Joe Biden, climate plan, red meat","['2030', ' Joe Biden', ' climate plan', ' red meat']",4.0,16,en
59823,66437,49529,1659,http://data.gesis.org/claimskg/creative_work/1769fc55-7938-5244-b199-3da3c0497de5,Says Joe Biden will redirect the $30 billion that Donald Trump left for U.S. farmers to ‘climate change.’,politifact,English,MIXTURE,2,"Donald Trump, Joe Biden, U.S., climate change","['Donald Trump', ' Joe Biden', ' U.S.', ' climate change']",4.0,18,en
60039,66673,46408,7581,http://data.gesis.org/claimskg/creative_work/a4fc3948-c63f-5a0d-ae25-f9191c73a34b,Says Joe Biden's plan for net-zero emissions would instantly shut down all fracking and all mining immediately in Pennsylvania.,politifact,English,False,1,"Joe Biden, Pennsylvania, fracking, net-zero emissions","['Joe Biden', ' Pennsylvania', ' fracking', ' net-zero emissions']",4.0,19,en
